id,CH,CH_traditional,Pinyin,POS,EN,CH_Sentence,EN_Sentence,media
241,若,若,ruò,conj,"if, as if",<b>若</b>有问题，请随时问我。,"<b>If</b> there are questions, please ask me anytime.",
242,亦,亦,yì,adv,"also, too",此事<b>亦</b>属难免。,This matter is <b>also</b> hard to avoid.,
243,地区,地區,dìqū,noun,"area, region, district",这个<b>地区</b>的气候很干燥。,The climate in this <b>region</b> is very dry.,
244,技术,技術,jìshù,noun,"technology, skill, technique",他的驾驶<b>技术</b>非常好。,His driving <b>skill</b> is very good.,
245,至,至,zhì,prep,"to, until",这次会议将从周一持续<b>至</b>周三。,This meeting will last from Monday <b>until</b> Wednesday.,
246,特别,特別,tèbié,adj,"special, unusual, particular",她今天穿了一件很<b>特别</b>的衣服。,She wore a very <b>special</b> outfit today.,
247,其实,其實,qíshí,adv,"actually, in fact",我<b>其实</b>不明白他的意思。,I don't <b>actually</b> understand what he means.,
248,国际,國際,guójì,adj,international,这家公司在<b>国际</b>市场上很有名。,This company is very famous in the <b>international</b> market.,
249,不要,不要,búyào,verb,"don't, do not want",<b>不要</b>在图书馆大声说话。,<b>Don't</b> speak loudly in the library.,
250,发生,發生,fāshēng,verb,"happen, occur, take place",事故是昨天<b>发生</b>的。,The accident <b>happened</b> yesterday.,
251,参加,參加,cānjiā,verb,"participate, join, attend",你会<b>参加</b>明天的晚会吗？,Will you <b>attend</b> the party tomorrow?,
252,一定,一定,yīdìng,adv,"certainly, must, definitely",我明天<b>一定</b>会准时到达。,I will <b>definitely</b> arrive on time tomorrow.,
253,其中,其中,qízhōng,pron,"among, of them, in which",这里有五本书，<b>其中</b>三本是我的。,"There are five books here, <b>among</b> which three are mine.",
254,问,問,wèn,verb,"ask, inquire, question",我想<b>问</b>你一个问题。,I want to <b>ask</b> you a question.,
255,台北,臺北,Táiběi,noun,Taipei,<b>台北</b>是一个繁华的城市。,<b>Taipei</b> is a bustling city.,
256,包括,包括,bāokuò,verb,"include, consist of, comprise",这个价格<b>包括</b>了早餐。,This price <b>includes</b> breakfast.,
257,讲,講,jiǎng,verb,"speak, tell, talk",老师正在给学生<b>讲</b>故事。,The teacher is <b>telling</b> the students a story.,
258,造成,造成,zàochéng,verb,"cause, give rise to, create",大雨<b>造成</b>了交通堵塞。,The heavy rain <b>caused</b> a traffic jam.,
259,看,看,kàn,verb,"think, consider, look at",你怎么<b>看</b>这件事？,What do you <b>think</b> about this matter?,
260,像,像,xiàng,verb,"be like, resemble",他长得很<b>像</b>他的父亲。,He <b>resembles</b> his father very much.,
261,常,常,cháng,adv,"often, frequently, usually",我<b>常</b>去那家书店。,I <b>often</b> go to that bookstore.,
262,即,即,jí,adv,"at once, promptly, namely",黎明<b>即</b>起。,Get up <b>at once</b> at dawn.,
263,喜欢,喜歡,xǐhuān,verb,"like, love, be fond of",我非常<b>喜欢</b>听音乐。,I <b>like</b> listening to music very much.,
264,去,去,qù,verb,"go, leave, depart",我们明天要<b>去</b>上海。,We are <b>going</b> to Shanghai tomorrow.,
265,没,沒,méi,adv,"not, did not",我昨晚<b>没</b>睡觉。,I did <b>not</b> sleep last night.,
266,出现,出現,chūxiàn,verb,"appear, emerge, arise",天空<b>出现</b>了彩虹。,A rainbow <b>appeared</b> in the sky.,
267,政治,政治,zhèngzhì,noun,"politics, political affairs",他对<b>政治</b>非常感兴趣。,He is very interested in <b>politics</b>.,
268,话,話,huà,noun,"words, speech, language",他的<b>话</b>让我很感动。,His <b>words</b> moved me deeply.,
269,走,走,zǒu,verb,"walk, leave, go",我们<b>走</b>路去学校吧。,Let's <b>walk</b> to school.,
270,单位,單位,dānwèi,noun,"unit, department, organization",米是长度的<b>单位</b>。,The meter is a <b>unit</b> of length.,
271,一直,一直,yīzhí,adv,"always, all along, continuously",我<b>一直</b>在等你。,I have been waiting for you <b>all along</b>.,
272,吧,吧,ba,particle,"suggestion particle, uncertainty particle",我们走<b>吧</b>。,<b>Let's</b> go.,
273,是否,是否,shìfǒu,adv,"whether or not, if",我还不确定<b>是否</b>该去。,I am not sure <b>whether or not</b> I should go.,
274,当然,當然,dāngrán,adv,"certainly, of course",他<b>当然</b>会支持你的决定。,He will <b>certainly</b> support your decision.,
275,整,整,zhěng,adj,"whole, exact, entire",他喝了<b>整</b>瓶牛奶。,He drank the <b>whole</b> bottle of milk.,
276,处理,處理,chǔlǐ,verb,"to handle, to deal with, to process",我们需要尽快<b>处理</b>这个问题。,We need to <b>deal with</b> this problem as soon as possible.,
277,历史,歷史,lìshǐ,noun,"history, past records",他对中国<b>历史</b>很感兴趣。,He is very interested in Chinese <b>history</b>.,
278,了解,了解,liǎojiě,verb,"to understand, to comprehend, to find out",我想多<b>了解</b>一些当地文化。,I want to <b>understand</b> more about the local culture.,
279,那,那,nà,conj,"then, in that case",如果不去，<b>那</b>就算了。,"If you don't go, <b>then</b> forget it.",
280,怎么,怎麼,zěnme,pron,"how, why",你<b>怎么</b>没去上班？,<b>How</b> come you didn't go to work?,
281,机会,機會,jīhuì,noun,"opportunity, chance",这是一个很好的学习<b>机会</b>。,This is a great learning <b>opportunity</b>.,
282,家,家,jiā,measure,measure word for families or businesses,我在那<b>家</b>公司工作了五年。,I worked at that <b>company</b> for five years.,
283,听,聽,tīng,verb,"to listen, to hear, to obey",你应该多<b>听</b>老师的话。,You should <b>obey</b> your teacher more.,
284,所有,所有,suǒyǒu,adj,"all, every",<b>所有</b>学生都参加了比赛。,<b>All</b> students participated in the competition.,
285,只要,只要,zhǐyào,conj,"so long as, provided",<b>只要</b>努力，你就能成功。,"<b>So long as</b> you work hard, you can succeed.",
286,朋友,朋友,péngyǒu,noun,"friend, companion",他是我最好的<b>朋友</b>。,He is my best <b>friend</b>.,
287,令,令,lìng,verb,"to make, to cause",那个消息<b>令</b>人非常兴奋。,That news <b>made</b> people very excited.,
288,甚至,甚至,shènzhì,adv,"even, so much so that",他忙得<b>甚至</b>没时间吃饭。,He was so busy that he <b>even</b> didn't have time to eat.,
289,用,用,yòng,verb,"to use, to employ, to apply",你可以<b>用</b>我的电脑。,You can <b>use</b> my computer.,
290,真,真,zhēn,adj,"real, true, genuine",这是一个<b>真</b>的故事。,This is a <b>true</b> story.,
291,六,六,liù,num,six,他下午<b>六</b>点下班。,He gets off work at <b>six</b> o'clock in the afternoon.,
292,呀,呀,ya,particle,particle expressing surprise or emphasis,这儿的天气真好<b>呀</b>！,The weather here is <b>really</b> nice!,
293,情况,情況,qíngkuàng,noun,"situation, circumstances, condition",请向我报告一下目前的<b>情况</b>。,Please report the current <b>situation</b> to me.,
294,还是,還是,háishì,conj,"or, still",你想喝咖啡<b>还是</b>喝茶？,Do you want to drink coffee <b>or</b> tea?,
295,钱,錢,qián,noun,"money, cash, fund",我没<b>钱</b>买这本书。,I don't have <b>money</b> to buy this book.,
296,方法,方法,fāngfǎ,noun,"method, way, means",这是一个解决问题的好<b>方法</b>。,This is a good <b>method</b> for solving the problem.,
297,点,點,diǎn,measure,"a bit, a little",我想喝<b>点</b>水。,I want to drink a <b>bit</b> of water.,
298,任何,任何,rènhé,pron,"any, whatever",<b>任何</b>人都可以参加。,<b>Any</b> person can participate.,
299,经验,經驗,jīngyàn,noun,experience,他在教学方面有很多<b>经验</b>。,He has a lot of <b>experience</b> in teaching.,
300,艺术,藝術,yìshù,noun,"art, skill, artistry",这部电影是一件伟大的<b>艺术</b>品。,This movie is a great work of <b>art</b>.,
301,你们,你們,nǐmen,pron,"you (plural), you all",<b>你们</b>打算什么时候去？,When do <b>you all</b> plan to go?,
302,十,十,shí,num,ten,他有<b>十</b>本书。,He has <b>ten</b> books.,
303,主要,主要,zhǔyào,adj,"main, major, principal",这是我们的<b>主要</b>目标。,This is our <b>main</b> goal.,
304,妈妈,媽媽,māma,noun,"mother, mom",我和<b>妈妈</b>一起去超市。,I went to the supermarket with <b>mom</b>.,
305,增加,增加,zēngjiā,verb,"increase, add, raise",该公司的销售额正在<b>增加</b>。,The company's sales are <b>increasing</b>.,
306,提出,提出,tíchū,verb,"put forward, raise, suggest",他<b>提出</b>了一个新建议。,He <b>put forward</b> a new suggestion.,
307,为什么,為什麼,wèishénme,adv,"why, how come",你<b>为什么</b>迟到？,<b>Why</b> are you late?,
308,以,以,yǐ,conj,"in order to, so as to",努力学习<b>以</b>求进步。,Study hard <b>in order to</b> make progress.,
309,您,您,nín,pron,you (polite),<b>您</b>好，请问您找谁？,"Hello, may I ask whom <b>you</b> are looking for?",
310,计划,計畫,jìhuà,noun,"plan, project, program",我们的<b>计划</b>失败了。,Our <b>plan</b> failed.,
311,作,作,zuò,verb,"do, make, compose",他<b>作</b>了一首诗。,He <b>composed</b> a poem.,
312,利用,利用,lìyòng,verb,"use, utilize, exploit",我们应该有效<b>利用</b>资源。,We should <b>use</b> resources effectively.,
313,东西,東西,dōngxi,noun,"thing, stuff",这是什么<b>东西</b>？,What is this <b>thing</b>?,
314,在,在,zài,prep,"at, in, on",我<b>在</b>北京住了三年。,I lived <b>in</b> Beijing for three years.,
315,条,條,tiáo,measure,"measure word for long, thin objects",路边有一<b>条</b>小河。,There is a small river by the road.,
316,设计,設計,shèjì,verb,"design, plan",他<b>设计</b>了一座漂亮的大桥。,He <b>designed</b> a beautiful bridge.,
317,找,找,zhǎo,verb,"look for, seek",我正在<b>找</b>我的钥匙。,I am <b>looking for</b> my keys.,
318,之间,之間,zhījiān,prep,"between, among",两个城市<b>之间</b>有一条河。,There is a river <b>between</b> the two cities.,
319,成长,成長,chéngzhǎng,verb,"grow up, mature",孩子们在快乐地<b>成长</b>。,The children are <b>growing up</b> happily.,
320,能够,能夠,nénggòu,verb,"can, be able to",我相信你<b>能够</b>完成任务。,I believe you <b>can</b> complete the task.,
321,决定,決定,juédìng,verb,"decide, determine",我们已经<b>决定</b>明天出发。,We have <b>decided</b> to set out tomorrow.,
322,学习,學習,xuéxí,verb,"study, learn",他每天努力<b>学习</b>汉语。,He <b>studies</b> Chinese hard every day.,
323,谁,誰,shéi,pron,"who, someone",<b>谁</b>敲了我的门？,<b>Who</b> knocked on my door?,
324,见,見,jiàn,verb,"see, meet",我们明天在车站<b>见</b>。,We'll <b>meet</b> at the station tomorrow.,
325,半,半,bàn,num,half,我吃了<b>半</b>个苹果。,I ate <b>half</b> an apple.,
326,时代,時代,shídài,noun,"era, age, epoch",我们生活在一个科技<b>时代</b>。,We live in a technological <b>era</b>.,
327,完成,完成,wánchéng,verb,"complete, finish",你必须按时<b>完成</b>作业。,You must <b>finish</b> your homework on time.,
328,带,帶,dài,verb,"bring, raise",他从小由奶奶<b>带</b>大。,He was <b>raised</b> by his grandmother since he was young.,
329,相当,相當,xiāngdāng,adj,"equal, equivalent, quite",他们的实力旗鼓<b>相当</b>。,Their strengths are <b>equal</b>.,
330,同学,同學,tóngxué,noun,"classmate, student",她是我大学时代的<b>同学</b>。,She is my university <b>classmate</b>.,
331,件,件,jiàn,measure,"measure word for items, matters",这<b>件</b>事很麻烦。,This <b>matter</b> is very troublesome.,
332,能力,能力,nénglì,noun,"ability, capacity",他很有领导<b>能力</b>。,He has strong leadership <b>ability</b>.,
333,别人,別人,biérén,pron,"others, other people",我们要学会尊重<b>别人</b>。,We should learn to respect <b>others</b>.,
334,生命,生命,shēngmìng,noun,life,水是<b>生命</b>的源泉。,Water is the source of <b>life</b>.,
335,下,下,xià,verb,"to put in, apply, form",他终于<b>下</b>了决心。,He finally <b>made</b> a decision.,
336,来,來,lái,particle,used before a verb to indicate the start of an action,让我<b>来</b>处理这件事。,Let me <b>handle</b> this matter.,
337,场,場,cháng,measure,"measure word for events, games",这<b>场</b>比赛太精彩了。,This <b>match</b> was wonderful.,
338,会议,會議,huìyì,noun,"meeting, conference, session",我们正在开一个很重要的<b>会议</b>。,We are having a very important <b>meeting</b>.,
339,容易,容易,róngyì,adj,"easy, simple",这道题其实很<b>容易</b>。,This question is actually very <b>easy</b>.,
340,开发,開發,kāifā,verb,"develop, exploit, open up",公司正在<b>开发</b>新软件。,The company is <b>developing</b> new software.,
341,民众,民眾,mínzhòng,noun,"the people, public, masses",政府应该倾听<b>民众</b>的声音。,The government should listen to the voice of the <b>public</b>.,
342,事情,事情,shìqing,noun,"matter, thing, affair",我有很多<b>事情</b>要处理。,I have many <b>matters</b> to deal with.,
343,书,書,shū,noun,"book, document, letter",他正在图书馆读一本<b>书</b>。,He is reading a <b>book</b> in the library.,
344,事实,事實,shìshí,noun,"fact, reality, truth",我们必须面对<b>事实</b>。,We must face the <b>fact</b>.,
345,有关,有關,yǒuguān,verb,"relate to, concern, involve",这件事与你<b>有关</b>。,This matter is <b>related</b> to you.,
346,自,自,zì,prep,"from, since",他<b>自</b>幼喜欢音乐。,He has loved music <b>since</b> he was a child.,
347,组织,組織,zǔzhī,noun,"organization, tissue, structure",他加入了一个慈善<b>组织</b>。,He joined a charitable <b>organization</b>.,
348,言,言,yán,verb,"say, speak, talk",既然已经立下诺言，就不可食<b>言</b>。,"Since you've made a promise, you cannot break your <b>word</b>.",
349,多,多,duō,adj,"more, extra, much more",你需要<b>多</b>一点耐心。,You need a bit <b>more</b> patience.,
350,爱,愛,ài,verb,"love, like, cherish",父母很<b>爱</b>自己的孩子。,Parents <b>love</b> their children.,
351,建立,建立,jiànlì,verb,"establish, set up, found",两国正式<b>建立</b>了外交关系。,The two countries officially <b>established</b> diplomatic relations.,
352,相关,相關,xiāngguān,adj,"related, relevant, associated",请提供所有<b>相关</b>的文件。,Please provide all <b>relevant</b> documents.,
353,均,均,jūn,adv,"all, without exception, equally",参赛选手的表现<b>均</b>很出色。,All contestants' performances were <b>without exception</b> excellent.,
354,产生,產生,chǎnshēng,verb,"produce, generate, emerge",这种化学反应会<b>产生</b>热量。,This chemical reaction will <b>produce</b> heat.,
